year,max_stations,min_stations,avg_stations,max_completeness,min_completeness,avg_completeness,total_records
1918,1218,1218,1218,0.3332649151614669,0.3333333333333333,0.3332649151614669,43848
1919,1218,1218,1218,0.33331052727604454,0.33331052727604454,0.33331052727604454,43848
1920,1218,1218,1218,0.33337133996168933,0.33330292803064854,0.33328012405363494,43852
1921,1218,1218,1218,0.3332877212187557,0.3332877212187557,0.3332877212187557,43848
1922,1218,1218,1218,0.33331052727604454,0.3333333333333333,0.33331052727604454,43848
1923,1218,1218,1218,0.33328012405363494,0.33330292803064854,0.33337133996168933,43852
1924,1218,1218,1218,0.33330292803064854,0.3333941439387029,0.33330292803064854,43852
1925,1218,1218,1218,0.3333333333333333,0.3333333333333333,0.3333333333333333,43848
1926,1218,1218,1218,0.3333333333333333,0.3333333333333333,0.3333333333333333,43848
1927,1218,1218,1218,0.3333333333333333,0.3333333333333333,0.3333333333333333,43848
1928,1218,1218,1218,0.3333333333333333,0.3333333333333333,0.3333333333333333,43848
1929,1218,1218,1218,0.3333333333333333,0.3333333333333333,0.3333333333333333,43848
1930,1218,1218,1218,0.3333333333333333,0.3333333333333333,0.3333333333333333,43848
1931,1218,1218,1218,0.3333333333333333,0.3333333333333333,0.3333333333333333,43848
1932,1218,1218,1218,0.3334549767356993,0.33336374418392484,0.33318127908037587,43844
1933,1218,1218,1218,0.3333333333333333,0.3333333333333333,0.3333333333333333,43848
1934,1218,1218,1218,0.3333333333333333,0.3333333333333333,0.3333333333333333,43848
1935,1218,1218,1218,0.3332116788321168,0.3333941605839416,0.3333941605839416,43840
1936,1218,1218,1218,0.3333333333333333,0.3333333333333333,0.3333333333333333,43848
1937,1218,1218,1218,0.3332116788321168,0.3333941605839416,0.3333941605839416,43840
1938,1218,1218,1218,0.3333333333333333,0.3333333333333333,0.3333333333333333,43848
1939,1218,1218,1218,0.3333333333333333,0.3333333333333333,0.3333333333333333,43848
1940,1218,1218,1218,0.3333333333333333,0.3333333333333333,0.3333333333333333,43848
1941,1218,1218,1218,0.3333333333333333,0.3333333333333333,0.3333333333333333,43848
1942,1218,1218,1218,0.3333333333333333,0.3333333333333333,0.3333333333333333,43848
1943,1218,1218,1218,0.33330292803064854,0.33330292803064854,0.3333941439387029,43852
1944,1218,1218,1218,0.3333333333333333,0.3333333333333333,0.3333333333333333,43848
1945,1218,1218,1218,0.3333333333333333,0.3333333333333333,0.3333333333333333,43848
1946,1218,1218,1218,0.3333941439387029,0.33330292803064854,0.33330292803064854,43852
1947,1218,1218,1218,0.3333333333333333,0.3333333333333333,0.3333333333333333,43848
1948,1218,1218,1218,0.3333333333333333,0.3333333333333333,0.3333333333333333,43848
1949,1218,1218,1218,0.3333333333333333,0.3333333333333333,0.3333333333333333,43848
1950,1218,1218,1218,0.3333333333333333,0.3333333333333333,0.3333333333333333,43848
1951,1218,1218,1218,0.3333333333333333,0.3333333333333333,0.3333333333333333,43848
1952,1218,1218,1218,0.3333333333333333,0.3333333333333333,0.3333333333333333,43848
1953,1218,1218,1218,0.3333333333333333,0.3333333333333333,0.3333333333333333,43848
1954,1218,1218,1218,0.3333333333333333,0.3333333333333333,0.3333333333333333,43848
1955,1218,1218,1218,0.33330292803064854,0.33330292803064854,0.3333941439387029,43852
1956,1218,1218,1218,0.33330292803064854,0.3333941439387029,0.33330292803064854,43852
1957,1218,1218,1218,0.3333333333333333,0.3333333333333333,0.3333333333333333,43848
1958,1218,1218,1218,0.3333333333333333,0.3333333333333333,0.3333333333333333,43848
1959,1218,1218,1218,0.3333941439387029,0.33330292803064854,0.33330292803064854,43852
1960,1218,1218,1218,0.33330292803064854,0.3333941439387029,0.33330292803064854,43852
1961,1218,1218,1218,0.3333333333333333,0.3333333333333333,0.3333333333333333,43848
1962,1218,1218,1218,0.33330292803064854,0.33330292803064854,0.3333941439387029,43852
1963,1218,1218,1218,0.3333333333333333,0.3333333333333333,0.3333333333333333,43848
1964,1218,1218,1218,0.3333333333333333,0.3333333333333333,0.3333333333333333,43848
1965,1218,1218,1218,0.3333333333333333,0.3333333333333333,0.3333333333333333,43848
1966,1218,1218,1218,0.3333333333333333,0.3333333333333333,0.3333333333333333,43848
1967,1218,1218,1218,0.3333333333333333,0.3333333333333333,0.3333333333333333,43848
1968,1218,1218,1218,0.3332116788321168,0.3333941605839416,0.3333941605839416,43840
1969,1218,1218,1218,0.3333333333333333,0.3333333333333333,0.3333333333333333,43848
1970,1218,1218,1218,0.3333333333333333,0.3333333333333333,0.3333333333333333,43848
1971,1218,1218,1218,0.3333333333333333,0.3333333333333333,0.3333333333333333,43848
1972,1218,1218,1218,0.3333941605839416,0.3332116788321168,0.3333941605839416,43840
1973,1218,1218,1218,0.33330292803064854,0.3333941439387029,0.33330292803064854,43852
1974,1218,1218,1218,0.3333333333333333,0.3333333333333333,0.3333333333333333,43848
1975,1218,1218,1218,0.3333333333333333,0.3333333333333333,0.3333333333333333,43848
1976,1218,1218,1218,0.3333333333333333,0.3333333333333333,0.3333333333333333,43848
1977,1218,1218,1218,0.33330292803064854,0.33330292803064854,0.3333941439387029,43852
1978,1218,1218,1218,0.3333333333333333,0.3333333333333333,0.3333333333333333,43848
1979,1218,1218,1218,0.3333333333333333,0.3333333333333333,0.3333333333333333,43848
1980,1218,1218,1218,0.3333941605839416,0.3333941605839416,0.3332116788321168,43840
1981,1218,1218,1218,0.33318127908037587,0.3334549767356993,0.33336374418392484,43844
1982,1218,1218,1218,0.33327252827435244,0.3333637358628238,0.3333637358628238,43856
1983,1218,1218,1218,0.3333333333333333,0.3333333333333333,0.3333333333333333,43848
1984,1218,1218,1218,0.3333333333333333,0.3333333333333333,0.3333333333333333,43848
1985,1218,1218,1218,0.3333333333333333,0.3333333333333333,0.3333333333333333,43848
1986,1218,1218,1218,0.3333333333333333,0.3333333333333333,0.3333333333333333,43848
1987,1218,1218,1218,0.3333941605839416,0.3332116788321168,0.3333941605839416,43840
1988,1218,1218,1218,0.3333941605839416,0.3332116788321168,0.3333941605839416,43840
1989,1218,1218,1218,0.3333333333333333,0.3333333333333333,0.3333333333333333,43848
1990,1218,1218,1218,0.3333333333333333,0.3333333333333333,0.3333333333333333,43848
1991,1218,1218,1218,0.33327249498083594,0.33327249498083594,0.33345501003832817,43832
1992,1218,1218,1218,0.33330292803064854,0.33330292803064854,0.3333941439387029,43852
1993,1218,1218,1218,0.3333333333333333,0.3333333333333333,0.3333333333333333,43848
1994,1218,1218,1218,0.33327252827435244,0.33327252827435244,0.33345494345129517,43856
1995,1218,1218,1218,0.33330292803064854,0.3333941439387029,0.33330292803064854,43852
1996,1218,1218,1218,0.33327252827435244,0.33327252827435244,0.33345494345129517,43856
1997,1218,1218,1218,0.3333941439387029,0.33330292803064854,0.33330292803064854,43852
1998,1218,1218,1218,0.3333333333333333,0.3333333333333333,0.3333333333333333,43848
1999,1218,1218,1218,0.3333941605839416,0.3332116788321168,0.3333941605839416,43840
2000,1218,1218,1218,0.3333333333333333,0.3333333333333333,0.3333333333333333,43848
2001,1218,1218,1218,0.3333333333333333,0.3333333333333333,0.3333333333333333,43848
2002,1218,1218,1218,0.3333333333333333,0.3333333333333333,0.3333333333333333,43848
2003,1218,1218,1218,0.3333941439387029,0.33330292803064854,0.33330292803064854,43852
2004,1218,1218,1218,0.3333333333333333,0.3333333333333333,0.3333333333333333,43848
2005,1218,1218,1218,0.3333333333333333,0.3333333333333333,0.3333333333333333,43848
2006,1218,1218,1218,0.3333333333333333,0.3333333333333333,0.3333333333333333,43848
2007,1218,1218,1218,0.3333941439387029,0.33330292803064854,0.33330292803064854,43852
2008,1218,1218,1218,0.3333333333333333,0.3333333333333333,0.3333333333333333,43848
2009,1218,1218,1218,0.3333333333333333,0.3333333333333333,0.3333333333333333,43848
2010,1218,1218,1218,0.33330292803064854,0.33330292803064854,0.3333941439387029,43852
2011,1218,1218,1218,0.3333333333333333,0.3333333333333333,0.3333333333333333,43848
2012,1218,1218,1218,0.3333333333333333,0.3333333333333333,0.3333333333333333,43848
